Timestamp,Milliseconds,LightValue
2025-05-15 13:51:00,10335000,1023
2025-05-15 13:51:05,10340000,1023
2025-05-15 13:51:10,10345000,1023
2025-05-15 13:51:15,10350000,1023
2025-05-15 13:51:20,10355000,1023
2025-05-15 13:51:25,10360000,1023
2025-05-15 13:51:30,10365000,1023
2025-05-15 13:51:35,10370000,31
2025-05-15 13:51:40,10375000,31
2025-05-15 13:51:45,10380000,33
2025-05-15 13:51:50,10385000,38
2025-05-15 13:51:55,10390000,35
2025-05-15 13:52:00,10395000,38
2025-05-15 13:52:05,10400000,29
2025-05-15 13:52:10,10405000,35
2025-05-15 13:52:15,10410000,34
2025-05-15 13:52:20,10415000,28
2025-05-15 13:52:25,10420000,35
2025-05-15 13:52:30,10425000,33
2025-05-15 13:52:35,10430000,34
2025-05-15 13:52:40,10435000,1023
2025-05-15 13:52:45,10440000,35
2025-05-15 13:52:50,10445000,33
2025-05-15 13:52:55,10450000,34
2025-05-15 13:53:00,10455000,35
2025-05-15 13:53:05,10460000,34
2025-05-15 13:53:10,10465000,27
2025-05-15 13:53:15,10470000,34
2025-05-15 13:53:20,10475000,33
2025-05-15 13:53:25,10480000,36
2025-05-15 13:53:30,10485000,32
2025-05-15 13:53:35,10490000,36
2025-05-15 13:53:40,10495000,34
2025-05-15 13:53:45,10500000,36
2025-05-15 13:53:50,10505000,31
2025-05-15 13:53:55,10510000,26
2025-05-15 13:54:00,10515000,35
2025-05-15 13:54:05,10520000,33
2025-05-15 13:54:10,10525000,37
2025-05-15 13:54:15,10530000,33
2025-05-15 13:54:20,10535000,37
2025-05-15 13:54:25,10540000,32
2025-05-15 13:54:30,10545000,34
2025-05-15 13:54:35,10550000,33
2025-05-15 13:54:40,10555000,31
2025-05-15 13:54:45,10560000,28
2025-05-15 13:54:50,10565000,33
2025-05-15 13:54:55,10570000,29
2025-05-15 13:55:00,10575000,26
2025-05-15 13:55:05,10580000,34
2025-05-15 13:55:10,10585000,27
2025-05-15 13:55:15,10590000,34
2025-05-15 13:55:20,10595000,34
2025-05-15 13:55:25,10600000,33
2025-05-15 13:55:30,10605000,33
2025-05-15 13:55:35,10610000,36
2025-05-15 13:55:40,10615000,36
2025-05-15 13:55:45,10620000,34
2025-05-15 13:55:50,10625000,27
2025-05-15 13:55:55,10630000,33
2025-05-15 13:56:00,10635000,37
2025-05-15 13:56:05,10640000,29
